location,Grigy,Grigy,Grigy,Grigy,Grigy,Grigy
lat,49.00000,49.00000,49.00000,49.00000,49.00000,49.00000
lon,6.25000,6.25000,6.25000,6.25000,6.25000,6.25000
asl,234.408,234.408,234.408,234.408,234.408,234.408
variable,Temperature,Wind Speed,Wind Direction,Cloud Cover Total,Direct Shortwave Radiation,Diffuse Shortwave Radiation
unit,°C,km/h,°,%,W/m²,W/m²
level,2 m elevation corrected,10 m,10 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Grigy Temperature [2 m elevation corrected],Grigy Wind Speed [10 m],Grigy Wind Direction [10 m],Grigy Cloud Cover Total,Grigy Direct Shortwave Radiation,Grigy Diffuse Shortwave Radiation
20190104T0800,0.1716548,7.208994,2.8624115,40.0,0.0,0.0
20190104T0900,0.18165481,7.928178,2.6025543,48.0,0.0,0.0
20190104T1000,-0.3783452,7.5599995,360.0,73.0,0.0,4.0
20190104T1100,0.8216548,9.3669195,2.202591,89.0,9.0,39.0
20190104T1200,1.2016548,7.92,360.0,84.0,10.0,79.0
20190104T1300,1.8516548,8.209263,344.74487,98.0,15.0,115.0
20190104T1400,2.3816547,9.0,323.13013,94.0,4.0,116.0
20190104T1500,2.7316546,10.883676,325.7843,100.0,4.0,112.0
20190104T1600,2.9316547,10.315115,330.7512,99.0,0.0,74.0
20190104T1700,3.1616547,8.707237,299.74487,80.0,0.0,34.0
20190104T1800,2.8316548,9.0645685,276.84277,84.0,2.0,9.0
20190104T1900,2.6316547,10.931203,287.24146,86.0,0.0,0.0
20190104T2000,2.7616546,12.682018,304.5923,83.0,0.0,0.0
20190104T2100,2.7516546,13.104198,307.1847,92.0,0.0,0.0
20190104T2200,2.6316547,12.181624,304.1597,77.0,0.0,0.0
20190104T2300,2.0616548,11.384198,304.69516,73.0,0.0,0.0
20190105T0000,1.4316548,11.592895,295.76935,84.0,0.0,0.0
20190105T0100,1.5416548,11.384199,288.43497,89.0,0.0,0.0
20190105T0200,1.5116549,10.239453,280.1247,99.0,0.0,0.0
20190105T0300,1.2216548,11.367109,280.95407,99.0,0.0,0.0
20190105T0400,1.4116548,11.720751,280.61966,96.0,0.0,0.0
20190105T0500,1.4016548,12.144331,281.97614,98.0,0.0,0.0
20190105T0600,1.3016548,12.496719,281.63364,94.0,0.0,0.0
20190105T0700,1.2516549,13.896187,286.55707,85.0,0.0,0.0
20190105T0800,1.1316547,14.494192,284.3814,100.0,0.0,0.0
