location,Grigy,Grigy,Grigy,Grigy,Grigy,Grigy
lat,49.00000,49.00000,49.00000,49.00000,49.00000,49.00000
lon,6.25000,6.25000,6.25000,6.25000,6.25000,6.25000
asl,234.408,234.408,234.408,234.408,234.408,234.408
variable,Temperature,Wind Speed,Wind Direction,Cloud Cover Total,Direct Shortwave Radiation,Diffuse Shortwave Radiation
unit,°C,km/h,°,%,W/m²,W/m²
level,2 m elevation corrected,10 m,10 m,sfc,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Grigy Temperature [2 m elevation corrected],Grigy Wind Speed [10 m],Grigy Wind Direction [10 m],Grigy Cloud Cover Total,Grigy Direct Shortwave Radiation,Grigy Diffuse Shortwave Radiation
20200115T1700,13.181655,25.11758,207.29958,18.0,85.0,50.0
20200115T1800,12.821654,23.188583,207.75854,50.0,14.0,15.0
20200115T1900,12.831655,22.380884,205.7407,78.0,0.0,0.0
20200115T2000,12.531654,22.104116,210.32361,97.0,0.0,0.0
20200115T2100,12.1216545,21.67786,215.53767,100.0,0.0,0.0
20200115T2200,11.931655,19.914215,220.60129,100.0,0.0,0.0
20200115T2300,11.601655,18.075441,224.19308,100.0,0.0,0.0
20200116T0000,11.481655,15.856354,230.52754,81.0,0.0,0.0
20200116T0100,11.181655,13.324863,231.58195,55.0,0.0,0.0
20200116T0200,10.841655,10.195057,227.86241,66.0,0.0,0.0
20200116T0300,10.591655,8.669949,221.63354,92.0,0.0,0.0
20200116T0400,10.111654,8.39657,210.96376,80.0,0.0,0.0
20200116T0500,9.681655,9.227524,200.55605,56.0,0.0,0.0
20200116T0600,8.851655,9.793058,197.10272,70.0,0.0,0.0
20200116T0700,8.451654,9.531505,190.88553,84.0,0.0,0.0
20200116T0800,7.841655,8.759178,189.46233,68.0,0.0,0.0
20200116T0900,7.8716545,9.007196,182.2906,53.0,0.0,0.0
20200116T1000,7.451655,10.446206,178.02507,42.0,2.0,5.0
20200116T1100,8.031655,11.928989,174.80557,23.0,36.0,37.0
20200116T1200,9.991654,9.565437,160.20113,26.0,104.0,65.0
20200116T1300,11.421655,9.47012,171.25385,6.0,169.0,81.0
20200116T1400,12.3716545,10.1376915,173.88449,5.0,180.0,94.0
20200116T1500,13.1216545,10.739833,166.42957,0.0,208.0,77.0
20200116T1600,13.391655,11.165805,159.22774,0.0,162.0,68.0
20200116T1700,12.891655,9.659814,153.43495,0.0,90.0,52.0
20200116T1800,10.881655,10.630672,151.69923,0.0,21.0,19.0
20200116T1900,9.161654,11.770403,156.5713,0.0,0.0,0.0
20200116T2000,8.391655,11.620809,163.81079,0.0,0.0,0.0
20200116T2100,7.951655,11.841756,160.46335,0.0,0.0,0.0
20200116T2200,7.4416547,12.72283,154.88516,0.0,0.0,0.0
20200116T2300,7.221655,13.527572,154.79887,0.0,0.0,0.0
20200117T0000,6.8616548,15.379206,163.68614,0.0,0.0,0.0
20200117T0100,6.7116547,16.808569,170.13419,5.4,0.0,0.0
20200117T0200,6.4016547,17.414476,172.87498,3.3000002,0.0,0.0
20200117T0300,6.591655,18.374111,177.75426,8.700001,0.0,0.0
20200117T0400,6.4216547,19.09358,182.16109,4.2000003,0.0,0.0
20200117T0500,6.6316547,19.110542,183.2397,1.0,0.0,0.0
20200117T0600,6.5816545,19.201874,186.45882,4.0,0.0,0.0
20200117T0700,6.8716545,19.416653,190.6849,5.0,0.0,0.0
20200117T0800,6.8116546,19.734436,194.79677,8.0,0.0,0.0
20200117T0900,7.1416545,19.469975,199.44003,50.0,0.0,0.0
20200117T1000,7.8616548,18.899143,197.74467,98.0,2.0,3.0
20200117T1100,8.061655,19.694992,198.10376,98.0,6.0,21.0
20200117T1200,8.311655,15.844089,201.31792,98.0,0.0,43.0
20200117T1300,8.991654,17.551615,205.51387,100.0,0.0,71.0
20200117T1400,9.191655,19.296135,216.65611,95.0,0.0,69.0
20200117T1500,9.041655,18.35647,228.17984,91.0,1.0,61.0
20200117T1600,9.051655,16.870138,230.19443,96.0,1.0,60.0
20200117T1700,8.821654,15.876775,237.0306,85.0,0.0,53.0
20200117T1800,8.241654,14.693999,239.03625,37.0,3.0,18.0
20200117T1900,7.781655,15.175612,247.69379,30.000002,0.0,0.0
20200117T2000,7.2116547,14.241629,253.85567,31.0,0.0,0.0
20200117T2100,6.9216547,14.145756,255.25644,43.0,0.0,0.0
20200117T2200,6.5216546,13.849476,261.02737,68.0,0.0,0.0
20200117T2300,6.2116547,12.7279215,261.8699,84.0,0.0,0.0
20200118T0000,5.1316547,12.015589,261.38434,24.6,0.0,0.0
20200118T0100,4.8716545,11.874544,255.96376,14.700001,0.0,0.0
20200118T0200,4.4816546,11.592895,244.23068,11.0,0.0,0.0
20200118T0300,4.0416546,11.246759,230.19443,15.0,0.0,0.0
20200118T0400,3.5916548,11.709688,225.0,4.0,0.0,0.0
20200118T0500,3.1616547,12.738099,222.7094,15.0,0.0,0.0
20200118T0600,2.9716547,14.512064,226.0051,27.0,0.0,0.0
20200118T0700,2.6516547,15.03835,227.91084,58.0,0.0,0.0
20200118T0800,2.8116548,14.773164,226.97495,96.0,0.0,0.0
20200118T0900,3.2016547,15.03835,227.91084,100.0,0.0,0.0
20200118T1000,3.4416547,14.799459,228.94519,100.0,0.0,4.0
20200118T1100,3.7516546,16.575644,235.61966,61.0,0.0,24.0
20200118T1200,4.491655,14.081477,237.52881,73.0,45.0,53.0
20200118T1300,4.8116546,14.021525,240.80252,95.0,95.0,99.0
20200118T1400,5.091655,13.237039,247.61987,79.0,150.0,99.0
20200118T1500,5.221655,11.966954,254.29138,87.0,89.0,99.0
20200118T1600,5.1216545,11.212135,264.47247,94.0,64.0,65.0
20200118T1700,5.341655,10.853866,275.7106,28.0,51.0,54.0
20200118T1800,4.4816546,7.6367526,278.1301,23.0,19.0,19.0
20200118T1900,3.5316546,5.771239,273.57632,20.0,0.0,0.0
20200118T2000,2.4816546,8.707238,277.125,17.0,0.0,0.0
20200118T2100,1.8616549,8.766573,289.17902,7.0,0.0,0.0
20200118T2200,1.2216548,9.449572,310.36456,5.0,0.0,0.0
20200118T2300,0.24165481,7.7879906,326.30994,3.0,0.0,0.0
20200119T0000,-0.84834516,7.9036193,329.93143,46.0,0.0,0.0
20200119T0100,-0.6883452,6.8777895,312.8789,5.0,0.0,0.0
20200119T0200,-0.99834514,7.127636,315.0,1.0,0.0,0.0
20200119T0300,-1.3283452,7.289445,327.0948,0.0,0.0,0.0
20200119T0400,-1.4383452,7.4128532,330.94543,0.0,0.0,0.0
20200119T0500,-1.8083452,7.5685663,334.65384,3.0,0.0,0.0
20200119T0600,-1.3483452,7.9036193,329.93143,28.0,0.0,0.0
20200119T0700,-0.9283452,7.5942082,328.57043,45.0,0.0,0.0
20200119T0800,-0.6483452,6.439876,333.43497,89.0,0.0,0.0
20200119T0900,-0.41834515,6.489992,340.55997,94.0,0.0,0.0
20200119T1000,-0.0583452,7.42159,345.96375,95.0,1.0,5.0
20200119T1100,0.7316548,9.178235,348.69006,98.0,8.0,43.0
20200119T1200,1.8716549,13.039754,353.65985,53.0,23.0,88.0
20200119T1300,2.8816547,15.546833,5.3145447,85.0,18.0,115.0
20200119T1400,3.6816547,13.910169,10.437485,55.0,25.0,133.0
20200119T1500,4.2516546,12.9249525,12.874985,33.0,9.0,107.0
20200119T1600,4.761655,12.224107,13.626984,30.0,30.0,94.0
20200119T1700,4.7316546,10.105681,4.085617,32.0,35.0,58.0
20200119T1800,4.0016546,9.9571085,12.528793,16.0,16.0,22.0
20200119T1900,3.1416547,12.181625,18.970398,18.0,0.0,0.0
20200119T2000,3.1016548,12.57426,23.629364,22.0,0.0,0.0
20200119T2100,2.7516546,12.24,28.07248,11.0,0.0,0.0
20200119T2200,2.5916548,11.609651,29.744873,6.0,0.0,0.0
20200119T2300,2.1716547,12.413477,29.538757,9.0,0.0,0.0
20200120T0000,1.9316548,11.753877,27.349869,77.0,0.0,0.0
20200120T0100,2.1416547,11.620809,16.189209,10.0,0.0,0.0
20200120T0200,2.2516546,11.966953,21.161255,18.0,0.0,0.0
20200120T0300,2.0916548,12.904882,30.141388,26.0,0.0,0.0
20200120T0400,2.0916548,11.792404,31.263718,39.0,0.0,0.0
20200120T0500,2.1416547,13.584932,32.005356,47.0,0.0,0.0
20200120T0600,1.7716548,13.779114,33.274887,57.0,0.0,0.0
20200120T0700,1.8716549,13.783817,40.763596,63.0,0.0,0.0
20200120T0800,1.5116549,14.003028,46.041626,54.0,0.0,0.0
20200120T0900,1.2216548,14.186923,54.293304,58.0,0.0,0.0
20200120T1000,1.2116548,13.479583,55.885513,62.0,2.0,6.0
20200120T1100,1.8316548,14.84318,50.906143,71.0,33.0,40.0
20200120T1200,3.2316546,16.548256,45.88138,61.0,31.0,86.0
20200120T1300,4.241655,16.80857,46.735703,56.0,57.0,98.0
20200120T1400,4.7516546,18.723461,52.028397,29.0,100.0,109.0
20200120T1500,5.051655,20.240198,51.499344,27.0,61.0,109.0
20200120T1600,5.261655,19.174856,50.332153,2.0,16.0,110.0
20200120T1700,5.0416546,16.323528,48.576324,2.0,0.0,79.0
20200120T1800,4.3316545,14.021525,48.122116,2.0,8.0,22.0
20200120T1900,3.4716547,14.021525,48.122116,3.0,0.0,0.0
20200120T2000,2.9216547,14.565548,50.013107,8.0,0.0,0.0
20200120T2100,2.6216547,14.693999,59.036255,6.0,0.0,0.0
20200120T2200,2.0616548,14.658676,65.323135,0.0,0.0,0.0
20200120T2300,1.6916548,14.039999,67.38013,0.0,0.0,0.0
20200121T0000,0.8616548,13.0447235,62.020523,0.0,0.0,0.0
20200121T0100,0.2016548,12.879752,63.43495,0.0,0.0,0.0
20200121T0200,-0.24834518,12.904882,67.011284,0.0,0.0,0.0
20200121T0300,-0.8283452,12.879752,63.43495,0.0,0.0,0.0
20200121T0400,-1.2483451,13.363711,62.74466,0.0,0.0,0.0
20200121T0500,-1.4883451,13.661038,71.56504,0.0,0.0,0.0
20200121T0600,-1.5983452,12.074766,79.695145,0.0,0.0,0.0
20200121T0700,-2.0583453,9.6932955,74.9315,0.0,0.0,0.0
20200121T0800,-2.6583452,9.085988,56.30993,0.0,0.0,0.0
20200121T0900,-2.8883452,9.793059,53.97262,0.0,0.0,0.0
20200121T1000,-2.8183453,10.805998,60.018356,0.0,5.0,7.0
20200121T1100,-1.1183451,11.503113,69.86369,8.0,60.0,43.0
20200121T1200,0.2616548,12.496719,78.36636,1.0,139.0,68.0
20200121T1300,1.5816548,11.212135,84.47246,0.0,211.0,76.0
20200121T1400,2.6316547,9.178235,78.69006,0.0,248.0,80.0
20200121T1500,3.5516548,9.028754,66.501434,0.0,232.0,82.0
20200121T1600,4.051655,9.693296,68.19859,0.0,190.0,71.0
20200121T1700,4.1316547,6.792466,57.994614,0.0,108.0,56.0
20200121T1800,2.2716546,7.928177,50.527527,0.0,29.0,26.0
20200121T1900,0.6516548,8.0899935,57.72435,0.0,0.0,0.0
20200121T2000,-0.088345185,7.5170207,73.30075,0.0,0.0,0.0
20200121T2100,-0.9583452,7.6367526,81.869896,0.0,0.0,0.0
20200121T2200,-1.2783452,7.5170207,73.30075,0.0,0.0,0.0
20200121T2300,-1.5783452,7.4128532,60.945396,0.0,0.0,0.0
20200122T0000,-1.8383452,8.209263,52.125,0.0,0.0,0.0
20200122T0100,-2.1283453,8.049845,63.43495,0.0,0.0,0.0
20200122T0200,-2.6783452,6.5693827,80.537674,0.0,0.0,0.0
20200122T0300,-3.4983454,6.87779,83.99099,0.0,0.0,0.0
20200122T0400,-3.3683453,6.830519,71.56504,0.0,0.0,0.0
20200122T0500,-3.6983452,6.297428,59.036255,0.0,0.0,0.0
20200122T0600,-4.008345,7.127636,44.999985,0.0,0.0,0.0
20200122T0700,-4.1383452,7.145796,40.914368,0.0,0.0,0.0
20200122T0800,-4.1883454,6.792466,57.994614,0.0,0.0,0.0
20200122T0900,-4.488345,7.342588,78.69006,0.0,0.0,0.0
20200122T1000,-4.0783453,6.9247384,62.102737,1.0,6.0,8.0
20200122T1100,-2.7383454,7.8954163,65.772255,1.0,64.0,43.0
20200122T1200,-1.6983452,10.1376915,83.8845,13.0,152.0,64.0
20200122T1300,-0.8083452,9.0,106.2602,2.0,225.0,75.0
20200122T1400,0.2216548,8.891344,68.62937,1.0,256.0,79.0
20200122T1500,1.2616549,12.031756,51.07245,0.0,247.0,78.0
20200122T1600,2.2816546,12.287555,58.17256,1.0,197.0,71.0
20200122T1700,2.2716546,10.296251,53.53076,1.0,114.0,56.0
20200122T1800,0.5616548,8.311245,72.34988,0.0,29.0,28.0
20200122T1900,-1.0583452,8.350138,97.431404,0.0,0.0,1.0
20200122T2000,-1.6083452,8.707238,82.874985,0.0,0.0,0.0
20200122T2100,-2.0483453,10.931203,72.75854,0.0,0.0,0.0
20200122T2200,-2.1183453,11.090103,76.86598,0.0,0.0,0.0
20200122T2300,-2.3083453,11.090103,76.86598,2.0,0.0,0.0
20200123T0000,-2.7583454,12.522619,71.56504,2.0,0.0,0.0
20200123T0100,-2.6583452,13.797913,74.87599,1.0,0.0,0.0
20200123T0200,-2.1583452,15.111424,77.61923,4.0,0.0,0.0
20200123T0300,-1.6983452,15.281989,74.981636,8.0,0.0,0.0
20200123T0400,-1.5983452,14.934577,74.62374,9.0,0.0,0.0
20200123T0500,-1.6083452,14.494192,75.61861,16.0,0.0,0.0
20200123T0600,-1.8383452,13.276144,77.47118,14.0,0.0,0.0
20200123T0700,-1.6683452,13.5515,73.00917,10.0,0.0,0.0
20200123T0800,-1.6383451,14.458382,71.113914,7.0,0.0,0.0
20200123T0900,-1.5483452,15.141414,71.995834,11.0,0.0,0.0
20200123T1000,-1.4783452,15.725037,74.054596,18.0,5.0,9.0
20200123T1100,-0.77834517,16.071491,74.40718,19.0,59.0,44.0
20200123T1200,-0.5583452,16.520823,78.69006,14.0,129.0,70.0
20200123T1300,0.1116548,16.343367,82.40536,2.0,186.0,90.0
20200123T1400,0.9416548,16.09969,79.695145,2.0,225.0,94.0
20200123T1500,1.6316549,15.192682,76.29304,5.0,227.0,83.0
20200123T1600,1.8416548,14.494192,75.61861,2.0,191.0,75.0
20200123T1700,1.3916548,10.739833,76.42956,7.0,117.0,56.0
20200123T1800,0.4516548,8.891344,68.62937,5.0,33.0,27.0
20200123T1900,-0.078345194,10.137692,73.495636,0.0,0.0,1.0
20200123T2000,-0.4383452,10.495713,84.09385,3.0,0.0,0.0
20200123T2100,-0.78834516,10.823973,86.18592,4.0,0.0,0.0
20200123T2200,-1.0983452,10.08,89.99999,1.0,0.0,0.0
20200123T2300,-1.3783451,9.028754,94.57392,0.0,0.0,0.0
20200124T0000,-1.6683452,9.6932955,105.06849,67.0,0.0,0.0
20200124T0100,-1.9983453,9.693296,111.80141,100.0,0.0,0.0
20200124T0200,-2.2783453,8.913181,133.36342,100.0,0.0,0.0
20200124T0300,-2.5283453,8.404285,133.26428,96.0,0.0,0.0
20200124T0400,-2.7583454,6.6087217,119.35774,94.0,0.0,0.0
20200124T0500,-2.9583454,6.12,118.07248,83.0,0.0,0.0
20200124T0600,-3.2783453,6.696387,126.25384,81.0,0.0,0.0
20200124T0700,-3.3583453,5.1919937,123.69006,71.0,0.0,0.0
20200124T0800,-3.3683453,4.2136917,109.9831,52.0,0.0,0.0
20200124T0900,-3.3383453,4.3349743,94.76365,62.0,0.0,0.0
20200124T1000,-2.9283452,5.8048253,97.125015,56.0,4.0,8.0
20200124T1100,-2.2383454,4.39436,124.99202,25.0,33.0,48.0
20200124T1200,-1.0883452,3.7064266,150.94539,86.0,76.0,82.0
20200124T1300,0.04165481,5.0528407,175.91438,85.0,159.0,93.0
20200124T1400,1.6016548,7.2359104,185.71059,2.0,183.0,108.0
20200124T1500,3.0116546,5.4833565,203.1986,0.0,177.0,107.0
20200124T1600,3.9416547,1.4399999,270.0,0.0,146.0,88.0
20200124T1700,4.181655,2.1897945,80.537674,0.0,74.0,69.0
20200124T1800,4.3816547,4.802999,102.99461,6.0,24.0,30.0
20200124T1900,2.6816547,4.6938257,122.47119,6.0,0.0,1.0
20200124T2000,0.9416548,3.319036,130.60129,1.0,0.0,0.0
20200124T2100,0.2816548,4.8965297,143.97263,3.0,0.0,0.0
20200124T2200,-0.3083452,6.830519,161.56505,0.0,0.0,0.0
20200124T2300,-1.4483452,6.489992,176.82018,4.0,0.0,0.0
20200125T0000,-2.0883453,6.130579,183.36646,94.0,0.0,0.0
20200125T0100,-2.1583452,6.151683,159.44395,94.0,0.0,0.0
20200125T0200,-2.5283453,3.8268526,131.18591,92.0,0.0,0.0
20200125T0300,-2.9183452,3.096837,125.537674,90.0,0.0,0.0
20200125T0400,-3.0783453,2.2768397,108.434944,94.0,0.0,0.0
20200125T0500,-2.8883452,2.3051248,51.34018,95.0,0.0,0.0
20200125T0600,-2.9683454,3.219938,63.43495,97.0,0.0,0.0
20200125T0700,-2.4383452,4.452954,104.03624,99.0,0.0,0.0
20200125T0800,-2.3883452,5.1919937,123.69006,100.0,0.0,0.0
20200125T0900,-2.0383453,5.3999996,126.869896,100.0,0.0,0.0
20200125T1000,-1.9583453,6.1094027,135.0,100.0,0.0,7.0
20200125T1100,-1.7383451,6.1305785,139.76364,100.0,0.0,51.0
20200125T1200,-1.1283451,4.829907,116.56505,100.0,0.0,87.0
20200125T1300,-0.018345192,4.452954,104.03624,100.0,1.0,125.0
20200125T1400,1.0216548,4.6800003,112.61986,99.0,2.0,137.0
20200125T1500,2.3916547,4.896529,107.10272,90.0,51.0,144.0
20200125T1600,3.4916546,6.0347,107.35402,86.0,73.0,114.0
20200125T1700,3.8316548,5.0528407,94.08562,86.0,56.0,75.0
20200125T1800,1.9616548,6.28713,76.75948,68.0,15.0,28.0
20200125T1900,0.8816548,6.924738,81.02737,57.0,0.0,1.0
20200125T2000,1.0816548,6.162207,83.29016,18.0,0.0,0.0
20200125T2100,1.0316548,6.849467,93.01279,22.0,0.0,0.0
20200125T2200,1.2516549,6.725354,105.5241,100.0,0.0,0.0
20200125T2300,0.8516548,6.9527545,111.2505,100.0,0.0,0.0
20200126T0000,1.0516548,9.0,106.2602,67.0,0.0,0.0
20200126T0100,0.90165484,9.693296,111.80141,94.0,0.0,0.0
20200126T0200,0.4916548,9.693296,121.32869,95.0,0.0,0.0
20200126T0300,0.23165481,9.504272,127.30394,92.0,0.0,0.0
20200126T0400,-0.018345192,9.178235,131.82016,39.0,0.0,0.0
20200126T0500,-0.028345197,8.435069,140.19443,28.0,0.0,0.0
20200126T0600,-0.20834519,6.9247384,152.10272,25.0,0.0,0.0
20200126T0700,-0.048345193,6.28713,156.37062,24.0,0.0,0.0
20200126T0800,0.04165481,7.42159,157.16635,27.0,0.0,0.0
20200126T0900,0.3916548,8.089993,159.14554,10.0,0.0,0.0
20200126T1000,0.48165482,9.0645685,173.15723,9.0,6.0,9.0
20200126T1100,1.8116548,10.8955765,187.59465,7.0,62.0,46.0
20200126T1200,3.9616547,7.8625183,195.9454,15.6,143.0,71.0
20200126T1300,5.3616548,7.42159,194.03624,25.500002,205.0,91.0
20200126T1400,6.6416545,8.287822,182.48955,27.300001,251.0,87.0
20200126T1500,7.7716546,9.47012,188.74615,24.300001,204.0,100.0
20200126T1600,8.021655,10.739833,193.57043,24.900002,153.0,97.0
20200126T1700,7.8116546,9.178235,191.30994,25.800001,61.0,80.0
20200126T1800,7.0016546,9.107359,198.43495,27.900002,11.0,41.0
20200126T1900,5.991655,10.137692,196.50436,22.5,0.0,2.0
20200126T2000,5.241655,11.090103,193.13402,29.0,0.0,0.0
20200126T2100,5.0416546,12.0694,197.35403,9.0,0.0,0.0
20200126T2200,5.301655,13.207634,197.44719,21.6,0.0,0.0
20200126T2300,5.5416546,14.587776,195.75117,28.2,0.0,0.0
20200127T0000,5.031655,13.797913,195.12401,52.0,0.0,0.0
20200127T0100,5.0216546,12.904882,202.98872,41.0,0.0,0.0
20200127T0200,5.5816545,14.118243,199.359,30.0,0.0,0.0
20200127T0300,5.491655,16.327497,194.03624,31.0,0.0,0.0
20200127T0400,5.2916546,18.161278,193.76079,57.0,0.0,0.0
20200127T0500,5.3916545,18.448023,197.02052,73.0,0.0,0.0
20200127T0600,5.6916547,18.556595,198.08345,61.0,0.0,0.0
20200127T0700,5.7916546,19.483284,196.09082,68.0,0.0,0.0
20200127T0800,6.1616545,20.150354,198.75865,59.0,0.0,0.0
20200127T0900,6.281655,21.068459,199.98311,83.0,0.0,0.0
20200127T1000,6.451655,21.288757,198.74133,99.0,0.0,7.0
20200127T1100,6.8716545,23.565567,198.71173,99.0,0.0,31.0
20200127T1200,7.0416546,21.53089,200.55605,98.0,0.0,52.0
20200127T1300,7.471655,22.427162,198.72578,97.0,0.0,71.0
20200127T1400,7.551655,23.565567,198.71173,98.0,2.0,91.0
20200127T1500,7.1716547,24.472057,206.18811,98.0,10.0,91.0
20200127T1600,6.971655,25.006397,210.25644,99.0,0.0,58.0
20200127T1700,6.971655,23.188583,207.75854,100.0,0.0,24.0
20200127T1800,6.9016547,22.862123,206.16156,100.0,0.0,13.0
20200127T1900,6.761655,22.930048,202.1355,100.0,0.0,0.0
20200127T2000,6.551655,23.565567,198.71173,99.0,0.0,0.0
20200127T2100,6.5216546,25.96496,196.92752,99.0,0.0,0.0
20200127T2200,6.681655,29.548521,202.19029,98.0,0.0,0.0
20200127T2300,6.931655,30.449274,204.44395,98.0,0.0,0.0
20200128T0000,6.7716546,30.282827,208.39302,96.0,0.0,0.0
20200128T0100,7.281655,30.248568,218.23383,97.0,0.0,0.0
20200128T0200,7.431655,26.987997,223.91908,91.0,0.0,0.0
20200128T0300,7.2716546,25.501621,228.43364,99.0,0.0,0.0
20200128T0400,6.991655,27.381308,230.8696,66.0,0.0,0.0
20200128T0500,6.7916546,24.72495,222.04922,66.0,0.0,0.0
20200128T0600,6.9416547,26.072052,215.44571,89.0,0.0,0.0
20200128T0700,6.7916546,27.381306,208.24974,99.0,0.0,0.0
20200128T0800,6.9616547,30.652895,213.50343,67.0,0.0,0.0
20200128T0900,5.9116545,38.80159,242.95947,84.0,0.0,0.0
20200128T1000,4.571655,32.305862,255.80891,100.0,1.0,7.0
20200128T1100,4.5216546,31.771912,250.12782,91.0,3.0,47.0
20200128T1200,4.7716546,28.58545,253.16254,58.0,30.0,91.0
20200128T1300,4.8516545,29.947153,242.8189,63.0,46.0,133.0
20200128T1400,4.6516547,29.827904,240.3409,88.0,52.0,136.0
20200128T1500,5.3116546,32.825207,248.78203,84.0,145.0,119.0
20200128T1600,4.9816546,28.948118,248.86018,60.0,108.0,117.0
20200128T1700,4.591655,32.761974,257.94922,30.0,88.0,75.0
20200128T1800,3.8516548,26.901417,254.47589,26.0,30.0,37.0
20200128T1900,3.4016547,23.806318,249.64677,23.0,0.0,3.0
20200128T2000,3.3816547,22.104116,239.67639,27.0,0.0,0.0
20200128T2100,3.4016547,21.758419,231.0441,98.0,0.0,0.0
20200128T2200,3.4916546,22.218153,229.6001,97.0,0.0,0.0
20200128T2300,3.6016548,19.406637,220.48601,99.0,0.0,0.0
20200129T0000,1.9716548,18.193361,207.07208,90.0,0.0,0.0
20200129T0100,2.3916547,19.95972,230.85602,97.0,0.0,0.0
20200129T0200,3.4216547,23.936617,257.84506,98.0,0.0,0.0
20200129T0300,3.7116547,26.836306,263.06564,84.0,0.0,0.0
20200129T0400,3.7816546,26.27753,260.5377,76.0,0.0,0.0
20200129T0500,3.3016548,26.82906,258.38852,75.0,0.0,0.0
20200129T0600,3.1416547,22.702845,255.30269,53.0,0.0,0.0
20200129T0700,2.8216548,20.49156,251.56506,49.0,0.0,0.0
20200129T0800,2.9816546,19.191748,246.8014,66.0,0.0,0.0
20200129T0900,2.9816546,18.204042,245.46228,68.0,0.0,0.0
20200129T1000,3.4116547,18.514643,243.43495,44.0,3.0,11.0
20200129T1100,4.201655,18.86139,246.37064,75.0,19.0,52.0
20200129T1200,4.2716546,17.57744,235.00798,34.0,9.0,100.0
20200129T1300,5.281655,22.545315,250.40771,57.0,88.0,121.0
20200129T1400,5.8716545,24.569832,259.01935,28.0,102.0,136.0
20200129T1500,6.3716545,24.336637,262.34937,18.0,79.0,148.0
20200129T1600,6.6416545,23.499481,264.7261,29.0,137.0,100.0
20200129T1700,6.7116547,21.647945,266.1859,59.0,84.0,83.0
20200129T1800,6.1616545,19.416653,259.3151,55.0,27.0,36.0
20200129T1900,5.3816547,16.171976,253.17859,7.0,1.0,2.0
20200129T2000,4.801655,13.905509,248.7495,15.3,0.0,0.0
20200129T2100,4.9416547,13.217443,240.64226,19.0,0.0,0.0
20200129T2200,4.7916546,12.768586,229.57393,14.0,0.0,0.0
20200129T2300,5.0416546,13.493999,223.91908,19.0,0.0,0.0
20200130T0000,4.3116546,14.76439,225.0,45.0,0.0,0.0
20200130T0100,4.4816546,15.530151,225.9392,45.0,0.0,0.0
20200130T0200,4.431655,14.291592,220.91438,46.0,0.0,0.0
20200130T0300,4.3616548,14.57889,212.90524,52.0,0.0,0.0
20200130T0400,3.9216547,15.315873,209.57784,46.0,0.0,0.0
20200130T0500,3.7816546,15.1884165,211.42957,46.0,0.0,0.0
20200130T0600,3.6616547,15.94601,208.30075,45.0,0.0,0.0
20200130T0700,3.4816546,15.94601,208.30075,49.0,0.0,0.0
20200130T0800,3.5116546,14.33234,205.27773,58.0,0.0,0.0
20200130T0900,3.9316547,14.458382,198.8861,47.0,0.0,0.0
20200130T1000,4.841655,15.827721,197.19855,36.0,7.0,11.0
20200130T1100,5.8316545,16.965895,197.2815,30.000002,48.0,56.0
20200130T1200,6.781655,16.75064,188.65254,29.400002,68.0,108.0
20200130T1300,7.9116545,19.296133,188.58362,29.400002,134.0,140.0
20200130T1400,8.741654,20.674158,187.00127,86.0,154.0,124.0
20200130T1500,9.091655,21.749481,192.42595,100.0,56.0,140.0
20200130T1600,9.091655,25.045238,198.43495,100.0,3.0,83.0
20200130T1700,8.841655,24.675106,203.1986,99.0,0.0,37.0
20200130T1800,8.341655,23.34455,206.56505,100.0,0.0,17.0
20200130T1900,8.011655,22.065973,208.23744,100.0,0.0,1.0
20200130T2000,8.231655,22.26768,214.46082,100.0,0.0,0.0
20200130T2100,8.901654,23.933908,223.78113,100.0,0.0,0.0
20200130T2200,9.551655,25.812277,230.09212,100.0,0.0,0.0
20200130T2300,10.431655,27.07669,234.19666,100.0,0.0,0.0
20200131T0000,11.071654,25.992401,233.44753,100.0,0.0,0.0
20200131T0100,11.351655,25.77962,234.09029,100.0,0.0,0.0
20200131T0200,11.431655,25.864943,235.20398,100.0,0.0,0.0
20200131T0300,11.591655,25.277023,234.27261,100.0,0.0,0.0
20200131T0400,11.701654,25.277023,234.27261,100.0,0.0,0.0
20200131T0500,11.651654,24.881702,238.60974,100.0,0.0,0.0
20200131T0600,11.651654,24.20314,239.62088,100.0,0.0,0.0
20200131T0700,11.591655,22.59699,239.34933,100.0,0.0,0.0
20200131T0800,11.591655,21.120682,240.37625,100.0,0.0,0.0
20200131T0900,11.581655,19.513195,240.12401,100.0,0.0,0.0
20200131T1000,11.591655,18.775303,237.52881,100.0,0.0,3.0
20200131T1100,11.8716545,18.504139,232.90717,100.0,1.0,19.0
20200131T1200,12.181655,14.264361,227.04541,95.0,1.0,36.0
20200131T1300,12.531654,15.782622,225.0,98.0,5.0,62.0
20200131T1400,12.691655,19.513195,232.49585,99.0,0.0,71.0
20200131T1500,12.861654,20.140705,241.14435,69.0,5.0,77.0
20200131T1600,12.801655,15.876775,237.0306,100.0,0.0,59.0
20200131T1700,12.511655,15.546833,227.81555,99.0,0.0,38.0
20200131T1800,12.271655,16.055355,227.72632,96.0,1.0,18.0
20200131T1900,12.041655,17.339897,228.36647,79.0,0.0,2.0
